+ve	positive
clm	career limiting move
clubn	clubing
cm@tw	catch me at the web
cmputa	computor
cn	can
cnd	crying in disgrace
cnot	cannot
cnp	continued ( in my ) next post
cof$	church of scientology
cofy	coffee
com&	command
comb@	combat
communic8	communicate
complic8	complicate
complx	complex
compne	company
confuz	confuse
congr@ul8	congratulate
congrats	congratulations
cool	kewl
cos	because
cp	chat post(a chat message)
cr8	crate
cre8	create
craz	crazy
crbt	crying real big tears
crims	criminals
cruz	cruise
cs	cyber sex
csg	chuckle snicker grin
cson	season
ct	city
cu	see you
cu2day	see you today
cu2nite	see you tonight
cuimd	see you in my dreams
cul8r	see you later
cupl	couple
cw2cu	can't wait to see you
cy	see ya
cya	see ya
cyal8r	see you all later
cyr	call your
d8	date
dad@hvn	our father who art in heaven
damkik	don't ask me how I know
dat	that
dats	thats
db8	debate
dci	don't cut in!
dcide	decide
dem	them
dey	they
dfl8	deflate
dgre	degree
dgt	don't go there
dhac	doesn't have a clue
dhyb	dont hold you breath
dimnd	diamond
dinr	diner
dis	this
ditd	down in the dumps
diy	do it yourself
dkdc	don't know don't care
dlad	delayed
dm&	demand
dmonstr8n	demonstration
dntbl8	don't be late
dob	date of birth
doh	how stupid
don8	donate
dr$	dress
dsaper	disappear
dtails	details
dubl	double
dv8	deviate
dvnt	deviant
dx	decks
dyk	did you know
dzasta	disaster
dzine	design
ef4t	effort
em	them
emsg	email
enuf	enough
eom	end of month
eta	estimated time of arrival
eva	ever
evrywhr	everywhere
experens	experience
f%d	food
f%t	foot
f%tt	footy
f2f	face to face
f8	fate
fanc	fancy
fantac	fantasy
favr	favour
fbi	I will look into it
fc	football club
ffr	for future reference
fitb	fill in the blank
fl@	flat
footy	soccer
foto	photo
frnz	frenzy
fs	for sale
ftbomh	from the bottom of my heart
ftl	faster than light
fud	spreading fear uncertainty and disinformation
fwiw	for what its worth
fya	for your amusement
fyi	for your information
g%d	good
g&t	gin and tonic
ga	go ahead
gal	girl
garnt	guarantee
gd&r	grinning ducking and running
gdby	goodbye
gf	girlfriend
gfi	go for it
gfn	gone for now
gg	gotta go
ggs	horses
gigo	garbage in, garbage out
giv	give
glamrs	glamorous
gmd	get my drift
gmt	greenwich mean time
gmta	great minds think alike
gnr8	generate
gnr8n	generation
gnr8tn	generation
gnrle	generally
go2	goto
goi	get over it
gr%vy	groovy
gr8	great
gr8ly	greatly
gr@	grand
gradu8	graduate
grd	grinning running and ducking
grr	growling
grusum	gruesome
gsus	jesus
gt2	get to
gth	go to hell
gtoutamydr	get out of my dreams
gtsy	glad to see you
gudnite	goodnight
h&d	handy
h&k	hug and kiss
h2cus	hope to see you soon
h2o	water
habun	have a better one
hagn	have a good night
hago	have a good one
hagun	have a good one
hamrd	hammered
hand	have a nice day
hapnd	happened
hart	heart
hav	have
hbtu	happy birthday to you
heve	heavy
hhis	hanging head in shame
hhok	ha ha only kidding
hi-lited	highlighted
hir	higher
hot4u	hot for you
hovr	hover
hpn	happen
hpns	happens
hrtz	hurts
hru	how are you?
hs	has
hth	hope this helps
i12	I want to
iac	in any case
iae	in any event
iay2	I adore you too
ibcnu	i'll be seeing you
ic	in character
icbw	I could be wrong
iccl	I couldn't care less.
icn	I see now
idgi	I don't get it
idk	I don't know.
ig2r	I got to run
igp	I gotta pee
ih8u	I hate you
iirc	if I recall correctly
iiuc	if I understood you correctly
ikt	I know that
ilbl8	i'll be late
iluvumed	I love you more each day
iluwamh	I love you with all my heart
im@tur	immature
ima*vinrtst&iwan2eatu	I am a starving artist and I want to eat you
imao	in my arrogant opinion
imco	in my considered opinion
ime	in my experience
imeo	in my educated opinion.
imho	in my humble opinion
iml	in my life
imnsho	in my not so humble opinion
imo	in my opinion.
imoh	i'm outta here
imoo	in my own opinion
impr$	impress
imprsn8	impersonate
ims	if memory serves
imtng	in meeting
imu	I miss you
imu2	I miss you too
imw	in my world
in2	into
infl8	inflate
invstg8	investigate
invstg8n	investigating
ioh	I am out of here
iow	in other words
ir8	irrate
irl	in real life
isiatt	I see it all the time
iss	I said so
iteotb	in the eyes of the beholder
itf	in the flesh
itm	in the money
ityfir	I think you will find I am right
itz	it is
iwsn	I want sex now
iykwim	if you know what I mean
iyss	if you say so
j4f	just for fun
jacuz	jacuzzi
jam	just ask me
jfd	just do it!
jfl	just for laughs
jic	just in case
jk	joke
jlse	jealousy
jm2c	just my 2 cents
jm2p	just my two pence worth
jmo	just my opinion
jngl	jungle
jokn	joking
jooc	just out of curiosity
jr	junior
jrne	journey
jst4u	just for you
jtlyk	just to let you know
juc	jucy
juvinil	juvenile
k8	kate
k8t	katie
k9	dog
k9s	dogs
kapbl	capable
ketl	kettle
kfy	kiss for you
kiss	keep it simple stupid
kit	keep in touch
klick	kilometer
koc	kiss on the cheek
kol	kiss on the lips
kotc	kiss on the cheek
koz	cosy
kthxbye	okay thanks goodbye
kwim	know what I mean
kypo	keep your pants on
l%k	look
l&	land
l&n	landing
l2l	last to leave
l8r	later
l8rg8r	later 'gater
l8st	latest
l@n	latin
l@u	laughing at you
laff	laugh
lcke	lucky
ld	later dude
leav	leave
lern	learn
lhmo	laughing my head off
lho	laughing head off
lhu	lord help us
lmk	let me know
lmso	laughing my socks off
loc8	locate
lol	lots of love
loo's	toilets
los	line of site
lotre	lottery
lov	love
ls	else
lst	last
ltic	laugh till I cry
ltns	long time no see
lts	laughing to self
lu4e&a	love you forever and always
lul	love you lots
lul2	love you lots too
luvd	loved
luvn	loving
luvs	loves
luvu	I love you
luwamh	love you with all my heart
lv	love
lvu2	I love you too
ly	love you
ly2p	love you to pieces
lyl	love you lots
lylas	love you like a sister
lyn	lying
lywamh	love you with all my heart
m8	mate
m8s	mates
m@r	matter
may	mad about you
mcds	macdonalds
memre	memory
memry	memory
mergnc	emergency
met	meet
metqls	meticulous
mhoty	my hat's off to you
mic	microphone
million$	millions of dollars
mirra	mirror
mit	mighty
mjr	major
mmd	make my day
mne	many
morf	male or female
motd	message of the day
motss	members of the same sex
mov	movie
mrketn	marketing
mrvls	marvellous
mryme	marry me
msg	message
msg2	message to
msia	malaysia
mstake	mistake
mstke	mistake
mt	mount
mtf	more to follow
mum	mommy
mwbrl	more will be revealed later
mymu	make your mind up
myn	mine
myob	mind your own business
n2	into
n2k	need to know
nabr	neighbour
nadt	not a darn thing
naz	name address zip
nbd	no big deal
nbif	no basis in fact
nc	no comment
nclsd	enclosed
ncredbl	incredible
nd	need
nevr	never
nfi	no idea!
nfw	no way!
ng	nice guy
ngoc8	negociate
ngoc8r	negociater
nid	not into details
nm	near mint
nmp	not my problem
nocem	not seen them
non	now or never
norty	naughty
notha	another
noty	no thank you
noyb	none of your business
noyz	noise
np	no problem
nrg	energy
nrn	no response necessary
nside	inside
nssre	necessary
nto	into
ntr	enter
ntrtain	entertain
nuf	enough
nuttin	nothing
nvig8	navigate
nw	now way
nxt	next
nyt	night
nyts	nights
o1	only one
o2	oxygen
o4u	only for you
oap	old age person
obtw	oh by the way
ocup8n	occupation
ofn	often
oh2	oh too
oic	oh I see
ois	oh I see
ol	wife
om	old man
omdb	over my dead body
omg	oh my god
on9	online
oob	out of bounds
ooc	out of control
ooh	on one hand
ootb	out of the blue
opis	office
opn	open
oprtunet	opportunity
ornme	or nearest medieval equivalent
otoh	on the other hand
ott	over the top
ottomh	off the top of my head
outd%rs	outdoors
ovr8d	overated
ovrdu	overdue
owtte	or words to that effect
oystz	oysters
oyu	oh you
paw	parents are watching
pbb	please be brief
pdq	pretty damn quick
pebcak	problem exists between chair and keyboard
pik	pick
pix	photos
pl&	planned
pl8	plate
pla	play
playa	player
pls	please
plz	please
pm	post meridiem
pmp	peed my pants
po$bl	possible
po$ebl	possible
poahf	put on a happy face
pona	person of no account
porno	pornography
pov	point of view
ppl	people
pr$	press
pr@	prat
prelim	preliminary
prsn	person
prsnl	personal
prticulr	particular
prtnr	partner
prv8	private
pswrd	password
ptmm	please tell me more
pu	power up
puck@	pussycat
q4	fourth quarter
qez	queasy
qsl	reply
qso	conversation
qstn	question
qt	cutey
qty	quantity
quantt	quantity
r%m	room
r8	rate
rad	radical
rb@u	right back at you
rbtl	read between the lines
rcvd	received
rd	red
remmbr	remember
respx	respects
resrv8n	reservation
rip	rest in peace
ritn	written
rkive	archive
rmm	read my mail
rmntic	romantic
rn	right now
rnr	rest & recreation
rof	rolling on floor
rof,l	roll on floor, laughing
rofl	rolling on the floor laughing
rotfl	rolling on the floor laughing
rotm	right on the money
rsn	real soon now
rstrnt	restaurant
rsvp	respond after receiving
rtcl	article
rtficl	artificial
rtfm	read the manual!
rtfs	read the screen!
rtm	read the manual
rtst	artist
ruf2c	are you free to chat
ruf2t	are you free to talk
rulz	rules
rumf	are you male or female
ruok	are you ok
s%n	soon
s'up	what is up
s1vs	someone very special
s2bx	soon to be ex
s@rda	saturday
saft	saftey
sc$	success
scape	escape
semz	seems
sete	smiling ear to ear
sexc	sexy
sf	science fiction
sh%d	should
shid	slaps head in disgust
shtsi	somebody had to say it
sil	sister in law
sis	sister
sitd	still in the dark
sk8tr	skater
skool	school
slug	slow learner under guidance
sml	small
smsslt	so many sites so little time
snd	send
sntaclws	santa claus
so	significant other
softr	softer
sohf	sense of humour failure
sokay	its okay
sol	sooner or later
some1	someone
sop	standard operating procedure
sorg	straight or gay?
sot	short of time
sotmg	short of time must go
spk2ul8r	speak to you later
ssia	subject says it all
st&	stand
st&rd	standard
st8	state
st8n	station
statu	statue
sted	steady
stil	still
stix	sticks
str$	stress
str&	strand
stys	speak to you soon
subjx	subjects
sum1	someone
sumofus	some of us
suspx	suspects
sux	sucks
suyf	shut up you fool
swag	stuff we all get
swak	sent with a kiss
swalk	sealed with a loving kiss
swg	scientific wild guess
swl	screaming with laughter
sx	sex
sxa	sex appeal
sxc	sexy
sys	system
t%k	took
t&	tanned
t+	think positive
t2ul	talk to you later
t2yl	talk to you later
t42	tea for two
t4luk	thanks for letting us know
ta	thanks again
tah	take a hike
talkin	talking
tangld	tangled
tanstaafl	there ain't no such thing as a free lunch
tat2	tattoo
tbag	teabag
tcoy	take care of yourself
tdtm	talk dirty to me
teknolog	technology
teofwawki	the end of the world as we know it
tfs	thanks for sharing
tgif	thank god its friday
th@	that
thanq	thank you
thm	them
thn	than
thru	through
ti2g	time to go
tia	thanks in advance
tic	tongue in cheek
tilii	tell it like it is
tkts	tickets
tla	three letter acronym
tlc	tender love caring
tlk	talk
tm	trademark
tmi	text message injury
tnt	until next time
tnx	thanks
tnxe6	thanks a million
toy	thinking of you
tptb	the powers that be
trafk	traffic
transl8	translate
transl8n	translating
transl8r	translator
treeware	documentation
truk	truck
trukr	trucker
ttfn	ta ta for now
ttl	through the lense
tttt	these things take time
ttul	talk to you later
ttyl	talk to you later
tu	to you
tuvm	thank you very much
tv	telly
tw@	twat
twfw	too weird for words
twimc	to whom it may concern
twot	total waste of time
txtme	text me
ty	thankyou
typ	type
tyvm	thank you very much
u&i	you and i
u'l	you will
u+me	you and me
u2	you too
u@?	where are you
uc	you see
un4gtebl	unforgettable
un4tun8	unfortunate
uncrtn	uncertain
undrst&	understand
unpc	unpolitically correct
unpl&	unplanned
uo	you owe
uok	you ok?
up2	upto
upd8	update
ur	youre
ura*	you are star
urspshl	you are special
usu	usually
utlkn2me	you talking to me
uz	use
vbr8or	vibrator
vfm	value for money
vges	vegetables
vh	virtual hug
vi	village idiot
vlntine	valentine
vmail	voicemail
vr	virtual reality
vu	view
w%d	wood
w%l	wool
w%nt	wouldn't
w/	with
w/o	with out
w/u	with you
w00t	woohoo
w1m	wait one minute
w3s	websites
w4u	wait for you
w8	wait
w84m	wait for me
w8u	wait up
wag	wild guess
wai	what an idiot
wana	want to
wannab	want to be
warin	wearing
wateva	whatever
watz	what is
wb	welcome back
wca	who cares anyway
wchevr	whichever
wdymbt	what do you mean by that?
wdys	what did you say
wdyt	what do you think
we	whatever
weg	wicked evil grin
weu	whats eating you
wfm	works for me
whr	where
wifm	whats in it for me
wlk	walk
wnt	want
wnt2	want to
wog	worthy oriental gentleman
wori	worry
worid	worried
wrds	words
wrt	with respect to
wru	where are you?
wtf	what the!?
wtg	way to go
wth	with
wtmi	way to much information
wttw	word to the wise
wuciwug	what you see is what you get
wyf	wife
wyl	while
wyp	what's your problem
wyrn	what's your real name
wys	what you see
wysiwyg	what you see is what you get
wz	was
xcite	excite
xcitn	exciting
xd	crossed
xit	exit
xmeqk	kiss me quick
xoxoxo	hugs and kisses
xpect	expect
xpectd	expected
xperens	experience
xperts	experts
xplosiv	explosive
xpnsiv	expensive
xpr$	express
xs	excess
xtc	ecstacy
xtian	christian
xxxwrds	rude words
y3	yadda yadda yadda
ya	you
yaba	yet another bloody acronym
yb	why be
ybs	you will be sorry
yg	young gentleman
ygbk	you gotta be kidding
ykwycd	you know what you can do
ykwykd	you know what you can do
yl	young lady
ym	young man
ymmv	your mileage may vary
ynk	you never know
yoyo	you are on your own
yr	year
yswus	yeah sure whatever you say
ysyd	yeah sure you do
yt	yet
ytlkin2me	you talking to me
ytmob	you turn me on baby
yw	you're welcome
ywia	you're welcome in advance.
ywsyls	you win some you lose some
yyssw	yeah yeah sure sure whatever
z	said
z%	zoo
zh	zero hour
zup	whats up
zzz	the
eg	for example
eg	an example
eg	as example
eg	exempli gratia
ie	it is
ie	that is
ie	for instance
ie	such as
ie	id est
AM	ante meridiem
PM	post meridiem
+/-	plus or minus
+/-	plus / minus
+/-	plus/minus
UB	you be
UC	you see
UR	you are
UR	you're
UW	you will
UW	you'll
UD	you should
UD	you would
UD	you could
UD	you'd
IC	I see
IM	I am
IM	I'm
IW	I will
IW	I'll
ID	I should
ID	I would
ID	I could
ID	I'd
?	question
?	query
?	enquiry
<	less than
<	contract
>	greater than
>	expand
/	growth
/	slide up
\	decline
\	slide down
.	full-stop
.	full stop
a/c	account
a/cn	accountant
laf	laugh
laff	laugh
doh	dough
thO	though
thoh	though
thru	through
ruf	rough
ruff	rough
bow	bough
boh	bough
buff	bough
buf	bough
cof	cough
coff	cough
tuf	tough
tuff	tough
A	answer
Q	queue
Q	question
!	exclamation
!	exclaim
£	pound
£	sterling
%	percent
%	percentage
^	carrot
^	caret
^	exponential
^	higher
^	shift
*	bright
*	higher
*	exponential
-	minus
-	lower
-	delete
-	negative
+	extra
+	higher
+	positive
""	quote
""	speech
""	quotation
=	indifferent
:	colon
:	eyes
w/	with
wid	with
wth	with 
