2k0	2000
dgara	don't give a rats ass
dgas	Don't give a shit
dg	don't go
dga	don't go anywhere
dgoai	don't go on about it
dgt	don't go there
dhac	Don't have a clue
dk	don't know
dn	don't know
dno	don't know
donno	don't know
duno	don't know
dlibu	Dont let it bother you
dln	don't look now
dmi	don't mention it
dmu	don't mess up
dmwm	don't mess with me
dmy	don't mess yourself
dpmo	don't piss me off
dqydj	don't quit your day job
dqmot	don't quote me on this
drc	don't really care
dsu	don't screw up
dttm	don't talk to me
dttml	don't talk to me loser
dttpou	Don't tell the police on us
dttriaa	don't tell the RIAA
dtb	don't text back
dts	Don't think so
dta	Don't Trust Anyone
dtp	Don't Type Please
dwt	don't wanna talk
dwmt	don't waste my time
dwy	don't wet yourself
d.w	don't worry
d/w	don't worry
dw	don't worry
dwai	don't worry about it
dwbi	Don't worry about it.
doncha	Don't you
dontcha	don't you
dyec	Don't You Ever Care
dutma	don't you text me again
dyt	Don't you think
dyw	don't you worry
dt	double team
dbag	douchebag
dwn	down
dftc	down for the count
dfw	down for whatever
d.t.f	down to fuck
dth	down to hang
d/l	download
dl	download
dbz	DragonBall Z
drm	dream
db4l	drinking buddy for life
dwb	Driving while black
ddg	Drop Dead Gorgeous
dlf	dropping like flies
d&df	drug & disease free
ddf	Drug and Disease Free
dr00d	druid
drood	druid
knackered	drunk
d00d	dude
dewd	Dude
dood	dude
doodz	dudes
dah	dumb as hell
dass	dumb ass
df	Dumb Fuck
dfo	dumb fucking operator
dmba*	dumbass
dupe	duplicate
etp	eager to please
ez	Easy
ezi	easy
e4u2s	easy for you to say
ead	eat a dick
emp	eat my pussy
esad	eat shit and die
esadyffb	eat shit and die you fat fucking bastard
esl	eat shit loser
xtc	ecstasy
edumacation	education
efct	effect
skeet	ejaculate
e-ok	Electronically OK
1337	elite
133t	elite
31337	elite
313373	elite
31ee7	elite
el!t	elite
l337	elite
l33t	elite
lee7	elite
leet	elite
emm	email me
911sc	emergency let's stop chatting
epa	Emergency Parent Alert
mle	emily
mnm	eminem
emo	emotional
eob	End of Business
eoc	end of conversation
eod	End of day
eof	end of file
eom	end of message
eos	end of story
eotw	end of the world
eot	end of transmission
eula	end data license agreement
nme	enemy
nrg	energy
njoy	enjoy
enof	enough
enuf	enough
enuff	enough
nuff	enough
nv	envy
ecf	error carried forward
esc	escape
eta	Estimated Time of Arrival
evn	even
eva	ever
evaa	ever
evar	ever
evr	ever
eq	Everquest
evercrack	Everquest
eq2	Everquest2
evry	every
enat	every now and then
evry1	every one
butterface	every thing is hot but her face
ev1	everyone
every1	everyone
esbm	Everyone sucks but me
errythin	everything
evrytin	everything
3vi1	evil
*eg*	evil grin
eg	evil grin
xyz	examine your zipper
xyzpdq	Examine Your Zipper Pretty Darn Quick
e.g.	example
xmpl	example
ex-bf	Ex-Boy Friend
xbf	ex-boyfriend
xellent	excellent
xlnt	Excellent
xcept	except
xcpt	except
xpt	except
xs	excess
ex-gf	Ex-Girl Friend
xgf	exgirlfriend
xit	Exit
xpect	expect
exp	experience
xp	experience
guru	expert
etmda	Explain it to my dumb ass
xplaned	explained
eil	explode into laughter
sploits	exploits
sploitz	exploits
etla	extended three letter acronym
xtra	extra
efffl	extra friendly friends for life
xl	extra large
x treme	extreme
xtreme	extreme
xd	extreme droll
eleo	Extremely Low Earth Orbit
eyez	eyes
fab	fabulous
f4c3	face
f2f	face to face
ftf	face to face
f.b.	facebook
fbk	facebook
fcbk	facebook
phag	fag
faggit	faggot
fgt	faggot
phail	fail
phayl	fail
ftbfs	Failed to build from source
fbimcl	Fall Back In My Chair Laughing
fofl	fall on the floor laughing
ffcl	falling from chair laughing
focl	Falling Off Chair Laughing.
foocl	falls out of chair laughing
fam	family
fmir	family member in room
fnci	fancy
fol	farting out loud
fst	fast
f@	fat
fe	fatal error
f8	fate
fav	Favorite
fave	favorite
ph33r	fear
ph34r	fear
phear	fear
fpmitap	federal pound me in the ass prison
fotcl	fell off the chair laughing
f4f	female for female
f4m	female for male
poontang	female genitalia
fov	Field of View
fio	figure it out
fxp	file exchange protocol
ftp	file transfer protocol
pino	Filipino
fitb	fill in the blank
ffxi	Final Fantasy 11
5n	fine
f9	fine
fi9	fine
fbtw	Fine Be That Way
fwm	Fine With Me
fcfs	first come first served
fn	first name
fps	First Person Shooter
fp	first post
fiv	five
fify	Fixed It For You
ftfy	Fixed that for you
fyp	fixed your post
fotm	Flavour of the month
fsm	flying spaghetti monster
folo	Follow
fft	food for thought
foo	fool
4	for
fer	for
ferr	For
fo`	for
faic	For All I Care
fao	for attention of
4col	For crying out loud
fcol	for crying out loud
4evr	for ever
4fs	for fuck's sake
ffs	for fuck's sake
ffr	for future reference
fgs	for God's sake
fgssu	For Gods sake shut up
floabt	for lack of a better term
4lyf3	for life
4lyfe	for life
fnar	For No Apparent Reason
fnpr	for no particular reason
4r3al	for real
fsr	for some reason
4sho	for sure
fashizzle	for sure
fo shizzle	for sure
fo sho	for sure
for sheeze	for sure
foshizzle	for sure
fosho	for sure
fs	For Sure
fsho	for sure
ftfw	For the fucking win!
ftk	For the Kill
ftlt	For the last time
ftl	For The Lose
4tlog	for the love of god
ftlog	for the love of god
ftmp	For the most part
ftmfw	for the mother fucking win
ftr	For The Record
fttp	for the time being
4tw	for the win
ftw	For the win!
4us	for us
fwiw	for what it's worth
4u	for you
4umb	For You Maybe
fya	for your attention
fye	For Your Entertainment
fyeo	For your eyes only
fyfi	For Your Fucking Information
fyi	for your information
fyk	for your knowledge
fyl	For your Love
4head	forehead
4eva	forever
4ever	forever
4evs	forever
4e&e	forever and ever
f&e	forever and ever
fimh	forever in my heart
4g8	forget
4get	forget
fuhget	forget
4gai	forget about it
4geit	forget it
4getu	forget you
4give	forgive
4gv	forgive
4got	forgot
frgt	forgot
4m	form
42n8	fortunate
4ward	forward
4wd	forward
fwd	forward
fxe	foxy
frk	freak
phreak	freak
friggin	freaking
ffa	free for all
f2p	free to play
f2t	Free to talk
foia	freedom of information act
fmao	freezing my ass of
faq	frequently asked question
fob	fresh off the boat
dawg	Friend
dogg	friend
fren	friend
frnd	friend
homey	Friend
m8	friend
whodi	friend
foaf	friend of a friend
ff	friendly fire
frens	friends
frnds	friends
m473s	friends
m473z	friends
m8t's	friends
f4eaa	friends forever and always
fwb	Friends with Benefits
fwob	friends with occasional benefits
4rm	from
frm	from
fta	From The Article
ftfa	From The Fucking Article
ft2t	From time to time
fsod	frosn screen of death
fc	fruit cake
7uck	fuck
ef	Fuck
farg	fuck
fawk	fuck
fck	fuck
fcuk	fuck
feck	fuck
fk	fuck
fook	fuck
fuk	fuck
fukk	fuck
fux	fuck
fvck	fuck
phuck	fuck
phuk	fuck
phux	Fuck
phuxor	fuck
shag	fuck
smeg	fuck
fi	fuck it
figmo	Fuck it - got my orders
fm	fuck me
fmbb	Fuck Me Baby
fmb	fuck me bitch
fmh	Fuck me hard
fckm3hdbayb	Fuck Me Hard Baby
fmhb	fuck me hard bitch
fmita	fuck me in the ass
fmltwia	fuck me like the whore I am
fmn	Fuck me now
fmnb	fuck me now bitch
fmnkml	fuck me now kiss me later
fmq	fuck me quick
fmr	fuck me runnig
fmth	fuck me to hell
fmuta	fuck me up the ass
fmutp	fuck me up the pussy
fmah	fuck my ass hole
fmbo	fuck my brains out
fmfl	Fuck my Fucking life
fmflth	Fuck My Fucking Life To Hell
f.m.l.	fuck my life
fml	fuck my life
fmph	fuck my pussy hard
f/o	fuck off
fo	fuck off
foad	fuck off and die
foa	fuck off asshole
foah	fuck off asshole
fomofo	fuck off mother fucker
foyb	fuck off you bitch
fouc	Fuck off you cunt 
ft	FUCK THAT
ftb	Fuck That Bitch
fts	fuck that shit
fa-q	Fuck you
fuh-q	fuck you
4q	fuck you
f u	fuck you
f.u.	fuck you
fcku	fuck you
fku	fuck you
fu	fuck you
fuq	fuck you
fy	fuck you
phq	fuck you
fua	fuck you all
fudie	fuck you and die
fyad	fuck you and die
fuah	fuck you ass hole
fyah	fuck you asshole
fubohic	fuck you Bend over here it comes
fub	fuck you bitch
fyb	fuck you bitch
fudh	fuck you dick head
fumfer	fuck you mother fucker
fyrb	fuck you right back
fut	Fuck You Too
fuu	fuck you up
fyc	fuck your couch
fyf	fuck your face
fym	fuck your mom
knn	fuck your mother
fus	fuck yourself
f00k	Fuck.
fckd	fucked
fuxored	Fucked
fiic	Fucked If I Care
fiik	Fucked If I Know
fubah	fucked up beyond all hope
fubalm	fucked up beyond all local maintenance
foobar	fucked up beyond all recognition
fubar	fucked up beyond all recognition
fubb	fucked up beyond belief
fubh	fucked up beyond hope
fubr	Fucked Up Beyond Recognition
4ker	fucker
fker	fucker
fukr	fucker
fuxor	fucker
phucker	fucker
ef-ing	fucking
f-ing	fucking
4king	fucking
effin	fucking
effing	Fucking
f#cking	Fucking
f'n	fucking
fckin	fucking
fcking	fucking
fkin	fucking
fking	Fucking
fkn	Fucking
fucken	Fucking
fukin	fucking
fukkin	fucking
fukn	fucking
fuxing	fucking
fg	fucking gay
fgi	fucking google it
fpos	fucking piece of shit
fucktard	fucking retard
fuctard	fucking retard
fsob	Fucking son of a bitch
fugly	fucking ugly
fos	full of shit
phun	fun
ftio	fun time is over
fnny	funny
fny	funny
funee	funny
funy	funny
fah	Funny as hell
gba	game boy advance
gngbng	gang bang
gangsta	gangster
gsta	Gangster
gigo	garbage in garbage out
g8	gate
g3y	gay
g@y	gay
gai	gay
gey	gay
ghei	Gay
ghey	gay
gy	gay
gah	gay ass homo
gemo	gay emo
gwm	gay white male
gow	gears of war
gaoep	generally accepted office etiquette principles
gt	get
gafl	get a fucking life
gaj	get a job
gal	get a life
gafi	get away from it
gafm	Get away from me
gcad	get cancer and die
gigig	get it got it good
gnn	get naked now
gnoc	get naked on cam
gnos	get naked on screen
gnrn	get naked right now
gomb	get off my back
goya	Get Off Your Ass
goyhh	get off your high horse
goc	get on camera
gotc	get on the computer
gooh	get out of here!
goomh	get out of my head
goml	get out of my life
goi	get over it 
goia	get over it already
gsp	get some pussy
gtf	get the fuck
gtfbtw	get the fuck back to work
gtfo	get the fuck out
gtfon	Get the fuck out noob
gtfooh	get the fuck out of here
gtfoomf	get the fuck out of my face
gtfoi	get the fuck over it
gtfuotb	get the fuck up out this bitch
gtho	get the hell out
gttp	get to the point
gws	get well soon
getcha	get you
gypo	Get Your Penis Out
gtn	getting
grtg	Getting ready to go
gsd	getting shit done
geto	ghetto
gol	giggle out loud
gmao	Giggling my ass off
gmfao	Giggling My Fucking Ass Off
gtm	giggling to myself
grl	girl
grrl	Girl
gurl	girl
gyal	girl
shawty	girl
gfe	Girl Friend experience
glu	girl like us
g/f	girlfriend
gf	girlfriend
gurlz	girls
giv	give
gimme	give me
gimmie	give me
gmabj	give me a blowjob
gmab	give me a break
gmafb	give me a fucking break
gmybs	give me your best shot
g2cu	glad to see you
gmod	Global Moderator
gsave	global struggle against violent extremists
g0	go
ga	go ahead
gagf	go and get fucked
gagp	go and get pissed
gaalma	go away and leave me alone
gb	Go back
gb2	go back to
gbtw	go back to work
gbioua	Go blow it out your ass
gdiaf	go die in a fire
gdih	Go die in hell
gfar2cu	go find a rock to crawl under
gfak	go fly a kite
gfadh	go fuck a dead horse
gfad	go fuck a duck
gfam	Go Fuck A Monkey
gfas	go fuck a sheep
gfo	go fuck off
gfyd	go fuck your dad
gfym	go fuck your mom
gfu	go fuck yourself
gfurs	go fuck yourself
gfus	go fuck yourself
gfys	go fuck yourself
gfgi	go fucking google it
ggal	go get a life
ggf	go get fucked
gjial	go jump in a lake
gky	Go kill yourself
gkys	Go kill yourself
gsfg	Go search fucking google
gosad	go suck a dick
gsad	go suck a dick
gsi	go suck it
gtas	go take a shit
gtfa	Go The Fuck Away
gtha	go the hell away
g2	go to
gtb	Go To Bed
gtfh	go to fucking hell
g2/-/	go to hell
g2h	go to hell
gth	go to hell
g2hb	go to hell bitch
gthb	go to hell bitch
gthmf	go to hell mothafucka
gthyfah	go to hell you fucking asshole
gwytose	go waste your time on someone else
gawd	god
gbu	god bless you
gdi	God Damn it
gdmfpos	god damn mother fucking piece of shit
gfd	god fucking damnit
gjsu	god just shut up
gok	God Only Knows
gork	God only really knows
gng	going
goin	going
gonna	going to
g2bl8	going to be late
gno	going to do
gts	going to school
gbnf	Gone but not forgotten 
gona	Gonna
gd	good
gewd	good
gud	good
gudd	good
gaf	good as fuck
gby	good bye
gdby	good bye
gday	Good Day
g4u	good for you
g4y	good for you
gd4u	Good For You
gfy	good for you
homie	good friend
gfg	good fucking game
gfi	good fucking idea
gfj	good fucking job
gg	good game
gga	good game all
ggnore	good game no rematch
ggs	good games
gdgd	good good
gh	good half
gj	good job
gjp	good job partner
gjt	good job team
gl	good luck
glux	good luck
gla	good luck all
gl&hf	good luck and have fun
glnhf	Good Luck and Have Fun
glhf	good luck have fun
glty	Good luck this year
glu2	good luck to you too
glwt	good luck with that
gm	good morning
gmtyt	good morning to you too
gnfpwlbn	good news for people who love bad news
g'nite	good night
g9	good night
gn	good night
gn8	good night
gnight	good night
gnite	good night
nn	good night
gnasd	good night and sweet dreams
gnstdltbbb	good night sleep tight don't let the bed bugs bite
g1	good one
gp	good point
gpwm	good point well made
gsoh	Good Sense of Humor
gtty	good talking to you
g2k	good to know
gtk	good to know
gtsy	good to see you
gw	good work
gwork	good work
gwrk	good work
cu	goodbye
cya	goodbye
byeas	good-bye
gnst	goodnight sleep tight
good9	goodnite
9009l3	Google
g00g13	Google
gcf	Google Click Fraud
