a4ded	afforded
alowin	allowing
aloyin	alloying
alredi	already
alrmin	alarming
alrtin	alerting
alt	alternative
alterd	altered
alterin	altering
altern8d	alternated
alternatin	alternating
altho	although
aludin	alluding
alurin	alluring
alwz	always
alyin	allying
amazd	amazed
amazin	amazing
ambld	ambled
amblin	ambling
ambushd	ambushed
ambushin	ambushing
amendin	amending
amountd	amounted
amountin	amounting
amplfyin	amplifying
amput8d	amputated
amputatin	amputating
amusd	amused
amusin	amusing
amzng	amazing
anaesthetisd	anaesthetised
anaesthetisin	anaesthetising
analysd	analysed
analysin	analysing
anchord	anchored
anchorin	anchoring
angerd	angered
angerin	angering
anglin	angling
anim8d	animated
animatin	animating
anneald	annealed
annealin	annealing
annexd	annexed
annexin	annexing
annihil8d	annihilated
annihilatin	annihilating
annot8d	annotated
annotatin	annotating
annoyd	annoyed
anointin	anointing
anouncd	announced
anouncin	announcing
anoyin	annoying
answr	answer
answrd	answered
answrin	answering
antagonisd	antagonised
antagonisin	antagonising
antagonizd	antagonized
antagonizin	antagonizing
antedatin	antedating
anticp8d	anticipated
anticptin	anticipating
anulld	annulled
anullin	annulling
anytin	anything
anytin	anything
anywhr	anywhere
anywy	anyway
apalld	appalled
apallin	appalling
apeald	appealed
apealin	appealing
apeard	appeared
apearin	appearing
apeasd	appeased
apeasin	appeasing
apendin	appending
apertaind	appertained
apertainin	appertaining
apetisin	appetising
apetizin	appetizing
apin	aping
aplauded	applauded
aplaudin	applauding
aplyin	applying
apointd	appointed
apointin	appointing
apolgisd	apologised
apolgisin	apologising
apolgizd	apologized
apolgizin	apologizing
apolgs	apologise
apolgz	apologize
aportiond	apportioned
aportionin	apportioning
app	application
applyd	applied
apprci8	appreciate
apprntly	apparently
appropri8d	appropriated
appropriatin	appropriating
approxim8ly	approximately
apps	applications
apr	april
apraisd	appraised
apraisin	appraising
apreci8d	appreciated
apreciatin	appreciating
aprehended	apprehended
aprehendin	apprehending
aprised	apprised
aprisin	apprising
aproachd	approached
aproachin	approaching
aprovd	approved
aprovin	approving
aproxim8d	approximated
aproximatin	approximating
aquird	acquired
aquirin	acquiring
aquitd	acquitted
aquitin	acquitting
arbitr8d	arbitrated
arbitragin	arbitraging
arbitratin	arbitrating
archd	arched
archin	arching
archivin	archiving
arcin	arcing
arent	are not
argmnt	argument
argmnts	arguments
arguin	arguing
arising	arising
armd	armed
arming	arming
arnd	around
arosd	aroused
arosin	arousing
arrangd	arranged
arrangin	arranging
arrayd	arrayed
arrayin	arraying
arrestd	arrested
arrestin	arresting
arrivd	arrived
arrivin	arriving
articul8d	articulated
articulatin	articulating
asaild	assailed
asailin	assailing
asasin8d	assassinated
asasinatin	assassinating
asaultd	assaulted
asaultin	assaulting
ascendin	ascending
ascertaind	ascertained
ascertainin	ascertaining
ascribd	ascribed
ascribin	ascribing
asembld	assembled
asemblin	assembling
asentd	assented
asentin	assenting
asertd	asserted
asertin	asserting
asessd	assessed
asessin	assessing
asignd	assigned
asignin	assigning
asimil8d	assimilated
asimilatin	assimilating
asist	assist
asistd	assisted
asistin	assisting
askd	asked
askin	asking
asoci8d	associated
asociatin	associating
aspir8d	aspirated
aspiratin	aspirating
asstnt	assistant
assuagd	assuaged
assuagin	assuaging
assumd	assumed
assumin	assuming
assurd	assured
assurin	assuring
astonishd	astonished
astonishin	astonishing
astoundin	astounding
atachd	attached
atachin	attaching
atackd	attacked
atackin	attacking
ataind	attained
atainin	attaining
atemptd	attempted
atemptin	attempting
atended	attended
atendin	attending
atond	atoned
atonin	atoning
atrophyin	atrophying
attenu8d	attenuated
attenuatin	attenuating
attestd	attested
attestin	attesting
attn	attention
attractd	attracted
attractin	attracting
attributd	attributed
attributin	attributing
atx	adaptxt
auditd	audited
aug	august
authentic8d	authenticated
availd	availed
availin	availing
avengd	avenged
avengin	avenging
averagd	averaged
averagin	averaging
averrd	averred
averrin	averring
avertd	averted
avertin	averting
avlbl	available
avoidin	avoiding
avowd	avowed
avowin	avowing
aw8d	awaited
aw8in	awaiting
awakend	awakened
awakenin	awakening
awakin	awaking
awnin	awning
awrdin	awarding
axd	axed
axeler8d	accelerated
axeleratin	accelerating
axentd	accented
axentin	accenting
axentu8d	accentuated
axentuatin	accentuating
axeptd	accepted
axeptin	accepting
axesd	accessed
axesin	accessing
axesion	accession
axident	accident
axin	axing
b	be
b2	back to
b4	before
b8in	baiting
backd	backed
backin	backing
badgerd	badgered
baffld	baffled
bafflin	baffling
bagerin	badgering
baggd	bagged
baggin	bagging
baild	bailed
bailin	bailing
bak	back
bakbitin	backbiting
bakd	baked
bakfired	backfired
bakfirin	backfiring
bakground	background
bakin	baking
baklightin	backlighting
bakpackin	backpacking
bakslapin	backslapping
bakslidin	backsliding
baktraked	backtracked
baktrakin	backtracking
balancd	balanced
balancin	balancing
baldin	balding
balin	baling
balkin	balking
balloond	ballooned
balloonin	ballooning
ballotd	balloted
ballotin	balloting
bandagin	bandaging
bandin	banding
bandyin	bandying
bangd	banged
bangin	banging
banishd	banished
banishin	banishing
bankd	banked
bankin	banking
bankrolld	bankrolled
bankrollin	bankrolling
bankruptd	bankrupted
bankruptin	bankrupting
bannd	banned
bannin	banning
banquetin	banqueting
banterd	bantered
banterin	bantering
baptisd	baptised
baptisin	baptising
baptizd	baptized
baptizin	baptizing
bargaind	bargained
bargainin	bargaining
bargin	barging
barin	baring
barkd	barked
barkin	barking
barnstormd	barnstormed
barnstormin	barnstorming
barrackin	barracking
barrd	barred
barricadin	barricading
barrin	barring
barterd	bartered
barterin	bartering
bashd	bashed
bashin	bashing
basin	basing
baskin	basking
bastin	basting
bathd	bathed
bathin	bathing
battend	battened
battenin	battening
batterd	battered
batterin	battering
battin	batting
battlin	battling
baulkin	baulking
bawlin	bawling
bayin	baying
bb	be back
bbq	barbecue
bby	baby
bcame	became
bcum	become
bcums	becomes
bd	big deal
bday	birthday
bdy	body
beachd	beached
beachin	beaching
beadin	beading
beamd	beamed
beamin	beaming
bearin	bearing
beatin	beating
beckond	beckoned
beckonin	beckoning
becomin	becoming
beddin	bedding
beefd	beefed
beefin	beefing
beekeepin	beekeeping
beepin	beeping
beggd	begged
beggin	begging
bein	being
belchd	belched
belchin	belching
belin	belling
belittld	belittled
belittlin	belittling
belowin	bellowing
beltin	belting
belyin	belying
bemoanin	bemoaning
benchmarkin	benchmarking
bendin	bending
benefitd	benefited
benefitin	benefiting
bequeathd	bequeathed
bequeathin	bequeathing
ber8d	berated
beratin	berating
berin	bering
berthd	berthed
berthin	berthing
beseechd	beseeched
beseechin	beseeching
besettin	besetting
besiegd	besieged
besiegin	besieging
bespeakin	bespeaking
bestin	besting
bestirrd	bestirred
bestirrin	bestirring
bestowd	bestowed
bestowin	bestowing
betrayd	betrayed
betrayin	betraying
betterd	bettered
betterin	bettering
bettin	betting
bewaild	bewailed
bewailin	bewailing
bewldrd	bewildered
bewldrin	bewildering
bewtchd	bewitched
bewtchin	bewitching
bf	boyfriend
bfallin	befalling
bfittin	befitting
bfriendin	befriending
bg	big
bgettin	begetting
bginin	beginning
bguilin	beguiling
bhavin	behaving
bheadin	beheading
biasd	biased
biasin	biasing
bickerin	bickering
bicycld	bicycled
bicyclin	bicycling
biddin	bidding
bidin	biding
bikin	biking
biletin	billeting
bilkin	bilking
billd	billed
billin	billing
bilowd	billowed
bilowin	billowing
bindin	binding
birthin	birthing
bisectd	bisected
bisectin	bisecting
bitchin	bitching
bitin	biting
biz	business
bk	book
bl2th	bluetooth
blabberin	blabbering
blackballd	blackballed
blackballin	blackballing
blackd	blacked
blackend	blackened
blackenin	blackening
blackin	blacking
blacklistd	blacklisted
blacklistin	blacklisting
blakmaild	blackmailed
blakmailin	blackmailing
blamd	blamed
blamin	blaming
blanchd	blanched
blanchin	blanching
blankd	blanked
blanketd	blanketed
blanketin	blanketing
blankin	blanking
blard	blared
blaring	blaring
blasphemd	blasphemed
blasphemin	blaspheming
blastd	blasted
blastin	blasting
blazd	blazed
blazin	blazing
bleachd	bleached
bleachin	bleaching
bleatd	bleated
bleatin	bleating
bleedin	bleeding
bleepin	bleeping
blendin	blending
blessin	blessing
blggng	blogging
bliev	believe
blievd	believed
blievin	believing
blightin	blighting
blindin	blinding
blinkin	blinking
blisterin	blistering
bloatin	bloating
blockadin	blockading
blockbustin	blockbusting
blockin	blocking
blogin	blogging
blongd	belonged
blongin	belonging
bloodin	blooding
bloodlettin	bloodletting
bloomin	blooming
blosomin	blossoming
blottin	blotting
blowin	blowing
blubberin	blubbering
bludgeonin	bludgeoning
bluffin	bluffing
blunderin	blundering
bluntin	blunting
blurrin	blurring
blurtin	blurting
blushin	blushing
blusterin	blustering
blve	believe
bn	been
boardin	boarding
boastin	boasting
boatin	boating
bobbin	bobbing
bobsleddin	bobsledding
bodgin	bodging
bodin	boding
bodybuildin	bodybuilding
boggin	bogging
bogglin	boggling
boild	boiled
boilin	boiling
bolin	boling
bolsterin	bolstering
bolting	bolting
bombardin	bombarding
bombin	bombing
bondin	bonding
bonkin	bonking
booin	booing
bookbindin	bookbinding
bookin	booking
bookkeepin	bookkeeping
bookmakin	bookmaking
boomd	boomed
boomerangin	boomeranging
boomin	booming
boostd	boosted
boostin	boosting
bootin	booting
bootleggin	bootlegging
boozin	boozing
borderin	bordering
borin	boring
borrowin	borrowing
bossin	bossing
botchin	botching
botherd	bothered
botherin	bothering
bottld	bottled
bottlin	bottling
bottomin	bottoming
bouncin	bouncing
boundin	bounding
bowdlerisin	bowdlerising
bowin	bowing
bowlin	bowling
bowrin	bowring
boxin	boxing
boycottin	boycotting
bracin	bracing
bracketin	bracketing
bradin	brading
braggin	bragging
braidin	braiding
brainstormin	brainstorming
brainwashin	brainwashing
brakin	braking
branchin	branching
brandin	branding
brandishin	brandishing
bravin	braving
brawlin	brawling
brayin	braying
brb	be right back
breachin	breaching
breakfastin	breakfasting
breakin	breaking
breastfeedin	breastfeeding
breastin	breasting
breathd	breathed
breathin	breathing
breathtakin	breathtaking
breedin	breeding
breezin	breezing
brewin	brewing
bribin	bribing
brickin	bricking
bricklayin	bricklaying
bridgin	bridging
bridlin	bridling
briefd	briefed
briefin	briefing
brightend	brightened
brightenin	brightening
brimmin	brimming
brin	bring
bringin	bringing
bristlin	bristling
brite	bright
brk	break
bro	brother
broachin	broaching
broadcastin	broadcasting
broadend	broadened
broadenin	broadening
broilin	broiling
brokerin	brokering
brokin	broking
broodin	brooding
bros	brothers
browbeatin	browbeating
brownd	browned
brownin	browning
browsd	browsed
browsin	browsing
brrw	borrow
brstl	bristol
bruisd	bruised
bruisin	bruising
brushd	brushed
brushin	brushing
brutalisin	brutalising
brutalizin	brutalizing
brwsr	browser
bst	best
bstsellin	bestselling
bth	both
btr	better
bttnholin	buttonholing
bttnin	buttoning
btw	by the way
btwn	between
bubblin	bubbling
bucketin	bucketing
buckin	bucking
bucklin	buckling
buddin	budding
budgetin	budgeting
budgin	budging
buferin	buffering
bufetin	buffeting
bufin	buffing
buggerd	buggered
buggerin	buggering
buggin	bugging
buildin	building
buldozin	bulldozing
bulfightin	bullfighting
bulgin	bulging
bulkin	bulking
bullrin	bullring
bullyin	bullying
bumblin	bumbling
bumpd	bumped
bumpin	bumping
bunchd	bunched
bunchin	bunching
bundlin	bundling
bunglin	bungling
buntin	bunting
buoyin	buoying
burblin	burbling
burdenin	burdening
burgeonin	burgeoning
burgld	burgled
burglin	burgling
burnd	burned
burnin	burning
burnishd	burnished
burnishin	burnishing
burpd	burped
burpin	burping
burrowd	burrowed
burrowin	burrowing
burstin	bursting
buryin	burying
buskin	busking
bussin	bussing
bustd	busted
bustin	busting
bustld	bustled
bustlin	bustling
busyin	busying
butcherd	butchered
butcherin	butchering
butfl	beautiful
butterd	buttered
butterin	buttering
buttin	butting
buttond	buttoned
buttressin	buttressing
buyin	buying
buzzd	buzzed
buzzin	buzzing
bx	box
bypassd	bypassed
bypassin	bypassing
bzy	busy
c	see
c8rd	catered
c8rin	catering
cablin	cabling
cacklin	cackling
caddyin	caddying
cajolin	cajoling
calcul8	calculate
calculatin	calculating
calibratin	calibrating
callin	calling
calmin	calming
calvin	calving
camouflagin	camouflaging
campaignin	campaigning
campd	camped
campin	camping
canceld	cancelled
cancellin	cancelling
canin	caning
cannibalisin	cannibalising
cannin	canning
cannonin	cannoning
canoein	canoeing
cant	cannot
canterin	cantering
canvassin	canvassing
caperin	capering
capitalisin	capitalising
capitalizin	capitalizing
capitulatin	capitulating
cappin	capping
capsizin	capsizing
captainin	captaining
captionin	captioning
captivatin	captivating
capturd	captured
capturin	capturing
caravannin	caravanning
cardin	carding
careenin	careening
careerin	careering
caressin	caressing
carin	caring
carjackin	carjacking
carlin	carling
carousin	carousing
carpetin	carpeting
carpin	carping
carryin	carrying
cartin	carting
cartoonin	cartooning
carvin	carving
cascadin	cascading
cashd	cashed
cashin	cashing
casin	casing
castigatin	castigating
castin	casting
castratin	castrating
cataloguin	cataloguing
catalysin	catalysing
catapultin	catapulting
catchin	catching
categoris	categories
categorisd	categorised
categorisin	categorising
categorizd	categorized
categorizin	categorizing
categry	category
caulkin	caulking
cauterisin	cauterising
cauterizin	cauterizing
cautionin	cautioning
cavin	caving
cavortin	cavorting
cawing	cawing
cc	carbon copy
ceasd	ceased
ceasin	ceasing
cedin	ceding
ceilin	ceiling
celebratin	celebrating
cementin	cementing
censorin	censoring
censurin	censuring
centralisin	centralising
centralizin	centralizing
centrd	centred
centrin	centring
certifyin	certifying
cffee	coffee
chafd	chafed
chaffd	chaffed
chaffin	chaffing
chafin	chafing
chaind	chained
chainin	chaining
chaird	chaired
chairin	chairing
chalkd	chalked
chalkin	chalking
challengin	challenging
champin	champing
championd	championed
championin	championing
champship	championship
chancd	chanced
chancin	chancing
changd	changed
changelin	changeling
changin	changing
channeld	channelled
channellin	channelling
channin	channing
chantin	chanting
chappin	chapping
characterisd	characterised
characterisin	characterising
characterizd	characterized
characterizin	characterizing
chargd	charged
chargin	charging
charin	charing
charmd	charmed
charmin	charming
charrin	charring
charterin	chartering
chartin	charting
chasd	chased
chasin	chasing
chastenin	chastening
chastisin	chastising
chattd	chatted
chatterin	chattering
chattin	chatting
chck	check
cheapend	cheapened
cheapenin	cheapening
cheatd	cheated
cheatin	cheating
checkd	checked
checkin	checking
cheerin	cheering
cherishin	cherishing
chewin	chewing
chidin	chiding
childbearin	childbearing
chilld	chilled
chillin	chilling
chimin	chiming
chinkin	chinking
chippin	chipping
chirpin	chirping
chirrupin	chirruping
chisellin	chiselling
chivvyin	chivvying
chk	check
chloro4min	chloroforming
chmstry	chemistry
chnce	chance
chng	change
chng	change
chngd	changed
chngin	changing
chngs	changes
chokin	choking
chompin	chomping
chongqin	chongqing
choosin	choosing
choppd	chopped
choppin	chopping
choreografin	choreographing
chortlin	chortling
chrctr	character
christenin	christening
chroniclin	chronicling
chuckd	chucked
chuckin	chucking
chuckld	chuckled
chucklin	chuckling
chuggin	chugging
chunderin	chundering
chunterin	chuntering
churchgoin	churchgoing
churnin	churning
circld	circled
circlin	circling
circulatin	circulating
circumscribin	circumscribing
circumventin	circumventing
citin	citing
civilisin	civilising
civilizin	civilizing
civlisd	civilised
civlizd	civilized
clackin	clacking
claddin	cladding
claimin	claiming
clamberin	clambering
clammin	clamming
clamourin	clamouring
clampin	clamping
clangin	clanging
clankin	clanking
clappin	clapping
clarifyin	clarifying
clashd	clashed
clashin	clashing
claspd	clasped
claspin	clasping
classd	classed
classifyin	classifying
classin	classing
clatterd	clattered
clatterin	clattering
clawin	clawing
clb	club
clbr8	collaborate
clb's	club's
cld	cold
cleand	cleaned
cleanin	cleaning
cleansd	cleansed
cleansin	cleansing
cleard	cleared
clearin	clearing
cleavin	cleaving
clenchin	clenching
clickd	clicked
clickin	clicking
clik	click
climaxd	climaxed
climaxin	climaxing
climbd	climbed
climbin	climbing
clinchd	clinched
clinchin	clinching
clingin	clinging
clinkd	clinked
clinkin	clinking
clippin	clipping
cll	call
clld	called
cllin	calling
cloakin	cloaking
clockin	clocking
cloggd	clogged
cloggin	clogging
clond	cloned
clonin	cloning
clos	close
closd	closed
closd	closed
closin	closing
clothd	clothed
clothin	clothing
clottin	clotting
cloudin	clouding
clownin	clowning
cloyin	cloying
clss	class
clubbin	clubbing
cluckin	clucking
clumpin	clumping
clusterin	clustering
clutchin	clutching
clutterin	cluttering
cmon	come on
c'mon	come on
cmpnies	companies
cmpny	company
cmptr	computer
cn	can
cnnxion	connection
cnsdr	consider
cnsqntly	consequently
cnt	can't
cntinue	continue
cntxt	context
coachd	coached
coachin	coaching
coalescin	coalescing
coastin	coasting
coatin	coating
coaxin	coaxing
cobblin	cobbling
cockfightin	cockfighting
cockin	cocking
coddlin	coddling
codifyin	codifying
codin	coding
coercin	coercing
coexistin	coexisting
cogitatin	cogitating
cohabiti	cohabiting
coilin	coiling
coincidin	coinciding
coinin	coining
cokin	coking
collaboratin	collaborating
collapsd	collapsed
collapsin	collapsing
collarin	collaring
collatin	collating
collectin	collecting
collexion	collection
collidin	colliding
colluding	colluding
colonising	colonising
colonizd	colonized
colonizin	colonizing
colourd	coloured
colourin	colouring
com4t	comfort
com4tble	comfortable
com4tin	comforting
comandin	commanding
combatin	combating
combd	combed
combin	combing
combind	combined
combinin	combining
combnd	combined
comemoratin	commemorating
comencin	commencing
comendin	commending
comentatin	commentating
comentin	commenting
comin	coming
cominglin	commingling
comiseratin	commiserating
comissiond	commissioned
comissionin	commissioning
comitin	committing
commandeerin	commandeering
commentd	commented
compactin	compacting
compard	compared
comparin	comparing
compartmentalisin	compartmentalising
compeld	compelled
compellin	compelling
compensatin	compensating
competin	competing
compild	compiled
compilin	compiling
complaind	complained
complainin	complaining
complementd	complemented
complementin	complementing
completd	completed
completin	completing
complicatin	complicating
complimentin	complimenting
complyin	complying
composd	composed
composin	composing
compostin	composting
compoundin	compounding
comprehendin	comprehending
compresd	compressed
compresin	compressing
comprisd	comprised
comprisin	comprising
compromisd	compromised
compromisin	compromising
computerisin	computerising
computerizin	computerizing
computin	computing
comunicatin	communicating
comunin	communing
comutin	commuting
con4md	conformed
con4min	conforming
conceald	concealed
concealin	concealing
concedin	conceding
conceivd	conceived
conceivin	conceiving
concentratin	concentrating
conceptualisin	conceptualising
conceptualizin	conceptualizing
concernd	concerned
concernin	concerning
conciliatin	conciliating
concludin	concluding
concoctin	concocting
concretin	concreting
concrnd	concerned
concrnin	concerning
concurrin	concurring
condemnd	condemned
condemnin	condemning
condensd	condensed
condensin	condensing
condescendin	condescending
conditiond	conditioned
conditionin	conditioning
condond	condoned
condonin	condoning
conductd	conducted
conductin	conducting
conferencin	conferencing
conferrd	conferred
conferrin	conferring
confessd	confessed
confessin	confessing
confidin	confiding
configurd	configured
configurin	configuring
confind	confined
confinin	confining
confirmd	confirmed
confirmin	confirming
confiscatin	confiscating
conflatin	conflating
conflictin	conflicting
confoundin	confounding
confrontd	confronted
confrontin	confronting
confusd	confused
confusin	confusing
congealin	congealing
congrats	congratulations
congratulatin	congratulating
congregatin	congregating
conjecturin	conjecturing
conjoinin	conjoining
conjugatin	conjugating
conjurin	conjuring
connectd	connected
connectin	connecting
connivin	conniving
connotin	connoting
conquerin	conquering
conscriptin	conscripting
consecratin	consecrating
consentd	consented
consentin	consenting
conservd	conserved
conservin	conserving
considerd	considered
considerin	considering
consignd	consigned
consignin	consigning
consistd	consisted
consistin	consisting
consolidatin	consolidating
consolin	consoling
consortin	consorting
conspirin	conspiring
constitutd	constituted
constitutin	constituting
constraind	constrained
constrainin	constraining
constrictd	constricted
constrictin	constricting
constructd	constructed
constructin	constructing
construin	construing
consultd	consulted
consultin	consulting
consumd	consumed
consumin	consuming
contactd	contacted
contactin	contacting
containd	contained
containin	containing
contaminatin	contaminating
contct	contact
contcts	contacts
contemplatin	contemplating
contendin	contending
contentin	contenting
contestd	contested
contestin	contesting
continu	continue
continud	continued
continuin	continuing
contortin	contorting
contractin	contracting
contradictin	contradicting
contrastin	contrasting
contravenin	contravening
contributd	contributed
contributin	contributing
contrivin	contriving
controllin	controlling
convalescin	convalescing
convenin	convening
convergin	converging
conversin	conversing
convertin	converting
conveyancin	conveyancing
conveyin	conveying
convictin	convicting
convincin	convincing
convulsin	convulsing
cooin	cooing
cookd	cooked
cookin	cooking
coold	cooled
coolin	cooling
cooperatin	cooperating
coordinatin	coordinating
copin	coping
coppicin	coppicing
copulatin	copulating
copyin	copying
copyrightin	copyrighting
copyrite	copyright
cornerin	cornering
cornin	corning
corrallin	corralling
correctin	correcting
correlatin	correlating
correspondin	corresponding
corroboratin	corroborating
corrodin	corroding
corruptin	corrupting
cors	course
coruscatin	coruscating
cos	because
cosd	caused
cosin	causing
costin	costing
costumd	costumed
costumin	costuming
couchd	couched
couchin	couching
coughd	coughed
coughin	coughing
counsellin	counselling
countd	counted
countenancin	countenancing
counteractin	counteracting
counter-attackin	counter-attacking
counterbalancin	counterbalancing
counterfeitin	counterfeiting
counterin	countering
countervailin	countervailing
countin	counting
coupld	coupled
couplin	coupling
coursin	coursing
courtin	courting
coverd	covered
coverin	covering
covetin	coveting
cowerin	cowering
cowin	cowing
cowlin	cowling
coxin	coxing
cpture	capture
cquensd	sequenced
cr8	create
cr8ed	created
crackin	cracking
cracklin	crackling
cradlin	cradling
craftin	crafting
cramd	crammed
cramin	cramming
crampd	cramped
crampin	cramping
cranin	craning
crankd	cranked
crankin	cranking
crashd	crashed
crashin	crashing
cravd	craved
cravin	craving
crawld	crawled
crawlin	crawling
crcdl	crocodile
cre8d	created
cre8iv	creative
creakd	creaked
creakin	creaking
creamd	creamed
creamin	creaming
creasd	creased
creasin	creasing
creatin	creating
credentialin	credentialing
creditin	crediting
creepin	creeping
creosotin	creosoting
crestin	cresting
crewin	crewing
cribbin	cribbing
cricketin	cricketing
criminalisin	criminalising
crimpin	crimping
crinin	cringing
crinklin	crinkling
crippld	crippled
cripplin	crippling
crisscrossin	crisscrossing
criticisd	criticised
criticisin	criticising
croakin	croaking
croftin	crofting
crookin	crooking
croonin	crooning
croppin	cropping
crossexaminin	cross-examining
crossin	crossing
crosslinkin	cross-linking
crouchin	crouching
crowdin	crowding
crowin	crowing
crownin	crowning
crry	carry
crryd	carried
crucifyin	crucifying
cruisin	cruising
crumblin	crumbling
crumplin	crumpling
crunchin	crunching
crusadin	crusading
crushd	crushed
crushin	crushing
cryin	crying
crystallisin	crystallising
crystallizin	crystallizing
crzy	crazy
c-t	city
ctrl	control
cu	see you
cubin	cubing
cud	could
cuddlin	cuddling
cudnt	could not
cuein	cueing
cullin	culling
culminatin	culminating
cultivatin	cultivating
culturin	culturing
cummin	cumming
cunnin	cunning
cupl	couple
cuppin	cupping
curbin	curbing
curdlin	curdling
curin	curing
curlin	curling
curryin	currying
cursd	cursed
cursin	cursing
curtailin	curtailing
curtainin	curtaining
curtseyin	curtseying
curtsyin	curtsying
curvd	curved
curvin	curving
cushin	cushing
cushiond	cushioned
cushionin	cushioning
cussin	cussing
customisd	customised
customisin	customising
customizd	customized
customizin	customizing
cuttin	cutting
cya	see ya
cyclin	cycling
cynd	signed
cynpostd	signposted
czd	seized
czin	season
d	the
d4med	deformed
d4min	deforming
d8	date
d8ing	dating
dabbd	dabbed
dabbin	dabbing
dabblin	dabbling
dairyin	dairying
dallyin	dallying
damagd	damaged
damagin	damaging
dammd	dammed
dammin	damming
damnd	damned
damnin	damning
dampd	damped
dampend	dampened
dampenin	dampening
dampin	damping
dancd	danced
dancin	dancing
dangld	dangled
danglin	dangling
darin	daring
darjeelin	darjeeling
darkend	darkened
darkenin	darkening
darlin	darling
darnin	darning
dartin	darting
dashin	dashing
dat	that
datin	dating
daubd	daubed
daubin	daubing
dauntin	daunting
dawdlin	dawdling
dawnd	dawned
dawnin	dawning
daydreamin	daydreaming
dazzld	dazzled
dazzlin	dazzling
db8	debate
dcayin	decaying
dceivd	deceived
dceivin	deceiving
dceler8d	decelerated
dceleratin	decelerating
dcentralised	decentralised
dcentralisin	decentralising
dcentralized	decentralized
dcentralizin	decentralizing
dcide	decide
dcided	decided
dcided	decided
dcidin	deciding
dcim8d	decimated
dcimatin	decimating
dcifered	deciphered
dciferin	deciphering
dcked	decked
dckin	decking
dclaimed	declaimed
dclaimin	declaiming
dclared	declared
dclarin	declaring
dclined	declined
dclinin	declining
dcoded	decoded
dcomissioned	decommissioned
dcomissionin	decommissioning
dcompressed	decompressed
dcompressin	decompressing
dconstructed	deconstructed
dconstructin	deconstructing
dcontamin8d	decontaminated
dcontaminatin	decontaminating
dcontrolled	decontrolled
dcontrollin	decontrolling
dcor8ed	decorated
dcoratin	decorating
dcoupld	decoupled
